model_key,condition_key,condition_bucket,corruption_family,severity_values,primary_severity,languages,language_count,judges_seen,n,accuracy,macro_f1,weighted_f1,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
meta-llama/llama-3.1-8b-instruct,gold,gold,gold,[0.0],0.0,"de, el, en, ro",4,deepseek/deepseek-r1,14,0.35714285714285715,0.25,0.5,22.285714285714285,4.928571428571429,4.642857142857143,5.0,3.9285714285714284,3.7857142857142856
qwen/qwen-2.5-7b-instruct,gold,gold,gold,[0.0],0.0,"de, el, en, ro",4,deepseek/deepseek-r1,14,0.2857142857142857,0.26666666666666666,0.43809523809523815,23.214285714285715,4.785714285714286,4.857142857142857,4.857142857142857,4.357142857142857,4.357142857142857
meta-llama/llama-3.1-8b-instruct,targeted_drop_20,corrupted,targeted,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.07692307692307693,0.04166666666666667,0.14102564102564102,23.846153846153847,5.0,4.769230769230769,5.0,4.538461538461538,4.538461538461538
qwen/qwen-2.5-7b-instruct,targeted_drop_20,corrupted,targeted,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.07692307692307693,0.04166666666666667,0.14102564102564102,24.0,4.846153846153846,4.846153846153846,4.846153846153846,4.6923076923076925,4.769230769230769
meta-llama/llama-3.1-8b-instruct,targeted_drop_50,corrupted,targeted,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.15384615384615385,0.20833333333333331,0.2435897435897436,24.53846153846154,5.0,5.0,5.0,4.769230769230769,4.769230769230769
qwen/qwen-2.5-7b-instruct,targeted_drop_50,corrupted,targeted,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.0,0.0,0.0,24.384615384615383,5.0,5.0,5.0,4.6923076923076925,4.6923076923076925
meta-llama/llama-3.1-8b-instruct,random_drop_20,corrupted,random,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.15384615384615385,0.20833333333333331,0.2435897435897436,23.76923076923077,4.923076923076923,4.846153846153846,5.0,4.461538461538462,4.538461538461538
qwen/qwen-2.5-7b-instruct,random_drop_20,corrupted,random,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.07692307692307693,0.04166666666666667,0.14102564102564102,24.23076923076923,5.0,5.0,5.0,4.615384615384615,4.615384615384615
meta-llama/llama-3.1-8b-instruct,random_drop_50,corrupted,random,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.15384615384615385,0.16346153846153846,0.20710059171597633,24.153846153846153,5.0,4.923076923076923,5.0,4.615384615384615,4.615384615384615
qwen/qwen-2.5-7b-instruct,random_drop_50,corrupted,random,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,13,0.0,0.0,0.0,24.692307692307693,5.0,5.0,5.0,4.846153846153846,4.846153846153846
